Us,Ul,Ut,D,x,x/L,r/R,Solids Holdup
0.95,8.4,7.1,500,3.82,0.63,0,0.1179
0.95,8.4,7.1,500,3.82,0.63,0.2,0.1179
0.95,8.4,7.1,500,3.82,0.63,0.49,0.1187
0.95,8.4,7.1,500,3.82,0.63,0.64,0.1194
0.95,8.4,7.1,500,3.82,0.63,0.76,0.1309
0.95,8.4,7.1,500,3.82,0.63,0.86,0.1356
0.95,8.4,7.1,500,3.82,0.63,0.95,0.1372
0.95,11.2,7.1,500,3.82,0.63,0,0.0932
0.95,11.2,7.1,500,3.82,0.63,0.2,0.0955
0.95,11.2,7.1,500,3.82,0.63,0.49,0.0909
0.95,11.2,7.1,500,3.82,0.63,0.64,0.0909
0.95,11.2,7.1,500,3.82,0.63,0.76,0.1031
0.95,11.2,7.1,500,3.82,0.63,0.86,0.1112
0.95,11.2,7.1,500,3.82,0.63,0.95,0.1156
1.37,22.4,7.1,500,3.82,0.63,0,0.0594
1.37,22.4,7.1,500,3.82,0.63,0.2,0.0594
1.37,22.4,7.1,500,3.82,0.63,0.49,0.0595
1.37,22.4,7.1,500,3.82,0.63,0.64,0.0612
1.37,22.4,7.1,500,3.82,0.63,0.76,0.0628
1.37,22.4,7.1,500,3.82,0.63,0.86,0.0663
1.37,22.4,7.1,500,3.82,0.63,0.95,0.0691
